Name,Type,Base-loc,Space,CapA,LowA,Bank3,Bank4,NumSyllables,Font,GlyphUses,SampleText,lrt-ltr
Armenenglish,Alphabet,f0000,f0020,f0041,f0061,-,-,-,lcs-constructorII,UL,F3B08181F3B081B2F3B081ADF3B081A5F3B081AEF3B081A5F3B081AEF3B081A7F3B081ACF3B081A9F3B081B3F3B081A8,ltr
AUI (thoughts),Alphabet,f2700,f2720,f2741,f2761,-,-,-,lcs-constructorII,UL,F3B29D81F3B29D95F3B29D89,ltr
Balnog,Alphabet,f0100,f0120,f0141,f0161,-,-,-,lcs-constructorII,UL,F3B08582F3B085A1F3B085AFF3B085AEF3B085AFF3B085A7,ltr
Barbica,Abjad,f2100,f2120,f2141,f2161,f2182,f21a2,-,lcs-constructorII,IMFS,F3B28582F3B28581F3B285B2F3B285A2F3B28589F3B28684F3B28581,ltr
Cinaric,Alphabet,f2600,f2620,f2641,f2661,-,-,-,lcs-constructorII,UL,F3B29983F3B299A9F3B299AEF3B299A1F3B299B2F3B299A9F3B299A3,ltr
Clanar,Abugida,f0200,f0220,f0241,-,-,-,-,lcs-constructorII,-,F3B08983F3B0898CF3B08981F3B0898EF3B08981F3B08992,ltr
Creegle,Alphabet,f3b00,f3b20,f3b41,f3b61,-,-,-,lcs-constructorII,UL,F3B3AD83F3B3ADB2F3B3ADA5F3B3ADA5F3B3ADA7F3B3ADACF3B3ADA5,ltr
Cyrilenglish,Alphabet,f0300,f0320,f0341,f0361,-,-,-,lcs-constructorII,UL,F3B08D83F3B08DB9F3B08DB2F3B08DA9F3B08DACF3B08DA5F3B08DAEF3B08DA7F3B08DACF3B08DA9F3B08DB3F3B08DA8,ltr
Diacrail,Multigraphic,f2800,f2820,f2841,f2861,-,-,-,lcs-constructorII,12,F3B2A1A4F3B2A189F3B2A181F3B2A1A3F3B2A192F3B2A1A1F3B2A189F3B2A1ACF3B2A19A,ltr
Diagal,Multigraphic,f2900,f2920,f2961,f2941,-,-,-,lcs-constructorII,12,F3B2A5A4F3B2A589F3B2A5A1F3B2A587F3B2A5A1F3B2A58C,ltr
